Category,Note
Journal Entry,Check for duplicates
Journal Entry,Archive old entries
Journal Entry,Align templates
Journal Entry,Review access rights
Journal Entry,Notify approvers
Journal Entry,Document assumptions
Reconciliation,Monthly review
Reconciliation,Escalate aging >60d
Reconciliation,Enforce cut-off
Reconciliation,Attach evidence
Reconciliation,Peer review required
Reconciliation,Clarify ownership
Financial Close,Year-end only
Financial Close,Publish timeline
Financial Close,Communicate dependencies
Financial Close,Pre-close checklist
Financial Close,Perform variance walk
Financial Close,Update runbook
Reporting,Quarterly update
Reporting,Lock versions
Reporting,Validate links
Reporting,Refresh pivots
Reporting,Collect narratives
Reporting,Sanity check totals
Intercompany,Review agreements
Intercompany,Confirm balances
Intercompany,Align rates
Intercompany,Finalize netting
Intercompany,Chase confirmations
Intercompany,Record reclasses
Fixed Assets,Physical verification
Fixed Assets,Update asset register
Fixed Assets,Schedule tags
Fixed Assets,Check insurance
Fixed Assets,Post impairments
Fixed Assets,Run depreciation
Accounts Reconciliation,Escalate issues
Accounts Reconciliation,Validate mappings
Accounts Reconciliation,Review thresholds
Accounts Reconciliation,Consolidate templates
Accounts Reconciliation,Reduce manual steps
Accounts Reconciliation,Track SLAs
